slice,n_active,meanSTTC,Q_obs,Q_null_mu,Q_null_hi,z_Q,defined,above_null_Q
20240708_13,34,0.03416204940271492,0.3268249406306356,0.3531834625144546,0.40474291002227114,-0.8730211941940549,1,0
20240708_17,27,0.26550961177758037,0.06066284311811328,0.39795882126000093,0.47999671091650675,-7.1311067660817535,1,0
20240723_22,2,nan,nan,nan,nan,nan,0,0
20240726_34,11,0.0819845089805239,0.2332728196331421,0.27953338180250964,0.3987323615397129,-0.7158496210346476,1,0
20240726_36,36,0.21024144327346922,0.13298854094359117,0.5255190755565722,0.6042629669128845,-8.521633854955432,1,0
20240813_39,26,0.06250143983070777,0.3850980251872307,0.5103021782504047,0.5854280331616721,-2.598301443855924,1,0
20240813b42,13,0.2256236969249877,0.26222659542207316,0.39453161969394784,0.5920960106419728,-1.3493569287281177,1,0
20240814a47,11,0.09376380871767022,0.28917525756931783,0.30426490355347435,0.5001346251536627,-0.15308331019904658,1,0
20240814b49,12,0.016636277157810322,0.24293918464338188,0.3827185522261394,0.5105257018548928,-1.698304645026951,1,0
20240815a51,1,nan,nan,nan,nan,nan,0,0
20240815b53,11,0.10656801968832579,0.3206957526135528,0.3451378750192246,0.4779627593791991,-0.25291036746832835,1,0
20240827a55,13,0.06343930250716893,0.4981563708513443,0.3881773112287811,0.6602553541836516,0.5431040081656049,1,0
20240827b57,16,0.041109591511339895,0.35551566836493004,0.3829213664011093,0.4887117488061892,-0.4277367150700866,1,0
20240930_65,48,0.04314239349884781,0.4095674054088562,0.5351744644049906,0.6013723762117595,-3.1512069782749896,1,0
20240930_69,19,0.1626958207659812,0.05126303090480934,0.21401839173591233,0.26677140014587897,-5.4458671950471205,1,0
20241002_72,2,nan,nan,nan,nan,nan,0,0
20241004_80,5,-0.018099999999999998,nan,nan,nan,nan,0,0
20241120_94,21,0.0326560388509064,0.6320923092195874,0.4642286304635098,0.600775201531252,2.1192214040219928,1,1
20241120_96,46,0.2582843401113705,0.13674088286696948,0.17321503577200276,0.19514963666446228,-2.855943758008807,1,0
20241121a_98,6,0.10898959347628084,0.19687882640966742,0.1961499973435898,0.4646894449627207,0.0048842794825751734,1,0
20241121b_103,13,0.05029007217455008,0.23615894017691824,0.3375060319155201,0.47600531062570445,-1.1687376194452421,1,0
20241122a_105,7,0.3513189201112977,0.025770644421376967,0.23082954245207,0.4815731493006984,-1.4857536143410621,1,0
20241122b_110,7,0.007546781353294432,1.58005334951805e-16,0.10287996131025044,0.4905175531082029,-0.5760241399781088,1,0
20241211_124,16,0.11433920642662908,0.29569211714100374,0.5920451276081043,0.7551768466315925,-2.24061535455106,1,0
20241211_127,43,0.08558931216845377,0.20257030471947055,0.31588067852996565,0.3535511492719129,-4.53966310893282,1,0
20241212_131,14,0.034871245774654884,0.35224786213078624,0.343952441336983,0.5062637215590085,0.08239455236089345,1,0
20241216_135,2,nan,nan,nan,nan,nan,0,0
20241216_137,8,-0.013882526451860873,0.4899447383996572,0.12729348440981023,0.4911266579649094,2.162490186460559,1,0
20250731_151,33,0.07597697545053626,0.27298384001453646,0.2674380843433653,0.30553542133692735,0.24421538304436288,1,0
20250806_174,31,0.12269442738363907,0.2886411840900864,0.37618614670366246,0.43445743469008,-2.550652125193238,1,0
20250806_176,10,0.04594594159339065,0.2529789233342951,0.2935049863800014,0.5033012728506691,-0.3383664918148135,1,0
20250807_178,22,0.23536064663186548,0.3374211365214802,0.43468547767267596,0.5575733366106747,-1.4900303820398055,1,0
20250807_181,27,0.05708256315367212,0.3472083725185668,0.35459595943807415,0.40913732602544606,-0.23020619598572326,1,0
20250808_183,21,0.026451433253375744,0.3687494480003896,0.5077484724333555,0.6448823084760188,-1.72809418640988,1,0
20250808_186,8,0.12022559470912997,-1.2678965284351885e-16,0.0182264467385962,0.1813665297993319,-0.29175217441620815,1,0
20250826_190,9,0.16246168708461128,-1.47082994390665e-16,0.23318644010692632,0.4999999842291792,-1.0414949264495208,1,0
20250826_192,30,0.31944903455788615,0.0823183692937915,0.4566162970521376,0.5297927882412319,-8.62383290413386,1,0
20250827_196,26,0.041442232463255624,0.34216877639516136,0.4523501167727994,0.528340850486267,-2.266153354703768,1,0
20250827_199,48,0.13549707358803248,0.16186352577285562,0.20974400571288057,0.2317503042554333,-3.8415314496516646,1,0
20250829_204,32,0.15913337280821085,0.16055556717696431,0.21897773365198434,0.24916902561778265,-3.1792132449559776,1,0
20250829_207,27,0.03604975838376636,0.2726242924617698,0.2733777430144468,0.3263697139735551,-0.023476669639698425,1,0
20250904_209,17,0.09792648479578825,0.2568341114949479,0.2574021798060305,0.34247997694969434,-0.012967897304611497,1,0
20250904_211,13,-0.021781493177376397,0.38296312710802854,0.4264242839732104,0.6069661049950974,-0.36664160458583017,1,0
20250911_214,14,0.2613859255466862,0.047369975053676905,0.37290549853180804,0.6094124754250655,-2.3168383780872883,1,0
20250911_217,10,0.06394847841369258,0.3408145989479489,0.2843050301018433,0.5009776599748452,0.44589441430842114,1,0
20250911_222,23,0.12006440515901882,0.15277129237346232,0.5924410307606401,0.6898045057762191,-5.8881269715012765,1,0
20250912_225,25,0.015391666003241947,0.5261962084741098,0.624280799391234,0.7448354582685,-1.238786625371156,1,0
20250912_227,12,0.2198545348868705,1.2002087261903693e-16,0.2699188969737562,0.6090664493647233,-1.1492037027737885,1,0
20250912_229,21,0.04981187398128333,0.19093913239529114,0.3293143393366977,0.40186074991164267,-3.068915697867577,1,0
20250925_231,19,0.08707792141586196,0.17556144452430733,0.17932356098747712,0.22491305073925505,-0.14388934255905447,1,0
20250925_233,26,0.09506662220644765,0.20786308060400296,0.23943372090612114,0.2871429398347763,-1.1345783282378696,1,0
20250926_235,20,0.07875121660535431,0.3086099017333347,0.2580772047685934,0.3240228818510553,1.324496267873638,1,0
20250926_237,35,0.03641333206365733,0.2812717613415697,0.3222718143406837,0.3653226967656563,-1.679890843444486,1,0
