slice,n_active,meanSTTC,Q_obs,Q_null_mu,Q_null_hi,z_Q,defined,above_null_Q
20240708_13,34,0.18198533677797438,0.10124228393137671,0.4000800582310571,0.4620606276372395,-7.995820861892674,1,0
20240708_17,30,0.5963360607903762,0.0042631592953579775,0.6353965987098132,0.7399969526019194,-9.354250826879932,1,0
20240723_22,4,-0.006989247311827957,nan,nan,nan,nan,0,0
20240726_34,6,0.0951785242490278,0.19824376003992136,0.12815058585085448,0.436869123256872,0.5056104396609389,1,0
20240726_36,23,0.19975101385507452,0.26261614349900314,0.6280445627123474,0.7458282494466608,-4.810957216189414,1,0
20240813_39,37,0.46758305292852315,0.0538258920411106,0.28533821585728564,0.32367677720756005,-9.723069216646303,1,0
20240813b42,11,0.030848690267021407,0.24560637366296625,0.3251421203039841,0.4825916079061141,-0.8164027351569588,1,0
20240814a47,7,0.10171823152718365,0.17811970463947807,0.16023072658751258,0.36977349925384595,0.15208174250273082,1,0
20240814b49,24,0.011296731419726182,0.45648500242569173,0.526133423067729,0.6421937040125407,-0.9860490633924265,1,0
20240815a51,1,nan,nan,nan,nan,nan,0,0
20240815b53,11,0.027468605489649946,0.41496251562604375,0.3415428612685912,0.5889560970937715,0.43004294856490255,1,0
20240827a55,14,0.1079322539317772,0.5969723408647,0.32964986299496274,0.6507194402035154,1.1035842505883273,1,0
20240827b57,12,-0.004210645694798764,0.4881065910747887,0.4512333662689018,0.6292441564609523,0.3141763017120094,1,0
20240930_65,53,0.6347551235817946,0.028475837251568506,0.1395766276640067,0.1574943773476814,-11.112658144654217,1,0
20240930_69,19,0.5637005177519919,0.005662989867386358,0.16550748236960228,0.2101712017409192,-6.904210308015653,1,0
20241002_72,1,nan,nan,nan,nan,nan,0,0
20241004_80,7,0.022121159850982057,3.0187139893088064e-16,0.07873295292939372,0.45433405889825523,-0.5067646502639642,1,0
20241120_94,26,0.2587574466056808,0.06302669292714203,0.6741573090644973,0.7942887103135452,-6.58239663710742,1,0
20241120_96,46,0.49185058398798587,0.06447028879316302,0.1215842793871509,0.13774311520167656,-6.211518030108634,1,0
20241121a_98,5,-0.07329219880100563,nan,nan,nan,nan,0,0
20241121b_103,12,0.04346037396389806,0.5900225543648112,0.44071786939065627,0.6259630228405544,1.3089555061912184,1,0
20241122a_105,7,0.12267650762820911,0.21468293302714353,0.22410221156440727,0.4916306223593022,-0.05282898815195509,1,0
20241122b_110,3,-0.024691358024691357,nan,nan,nan,nan,0,0
20241211_124,22,0.1250455808057672,0.24611501955972806,0.613211726670339,0.7548661384957898,-3.454546163469506,1,0
20241211_127,45,0.46502435578422185,0.07113057433766706,0.11363103038299592,0.12944726524357453,-4.8075140652837325,1,0
20241212_131,20,0.07272143495117805,0.27070137416306134,0.5200430449747321,0.6480005426939189,-2.8942684433904833,1,0
20241216_135,3,0.03696026535320693,0.0,-9.39100934012266e-18,1.624757369331675e-16,nan,1,0
20241216_137,8,0.08706773163358515,0.01046299538900064,0.1447281280996871,0.4811355562940601,-0.7471788835659016,1,0
20250806_174,36,0.5948328929143137,0.043551123686111436,0.16908148355846886,0.1923139177529266,-8.416197097895006,1,0
20250806_176,9,-0.02209331930123432,0.0,0.21488350221289285,0.49640483263515406,-1.1227451260497021,1,0
20250807_178,21,0.5550397070324933,0.06707360104373622,0.5989306965951482,0.737884709468825,-5.645682975568723,1,0
20250807_181,30,0.2658708542778584,0.19120800530105553,0.3744184283472907,0.44685683000256116,-4.5346110874476935,1,0
20250808_183,23,0.029341369825720838,0.5482362896234597,0.509814649929361,0.626751045199994,0.490467212621353,1,0
20250808_186,21,0.16075316350678698,0.37800997289662114,0.6634444106488939,0.7949483882663322,-2.795573872579623,1,0
20250826_190,9,0.21067035443324783,0.3482138620456152,0.1521632269636575,0.5,0.8561573750394539,1,0
20250826_192,30,0.42868483860070816,0.06728151439302134,0.24995488000552676,0.2980913634052107,-7.100772370462619,1,0
20250827_196,26,0.41488991949596277,0.027143844740402347,0.1720865667066929,0.20209940351410388,-7.473109712349306,1,0
20250827_199,48,0.548357094750173,0.05311860031029075,0.13325276027875055,0.1487888304921677,-9.223519533508346,1,0
20250829_204,32,0.49397205704150055,0.049562467611323574,0.15751902654072944,0.1828656524670075,-7.648589307392799,1,0
20250829_207,17,0.0252057241963919,0.3682818858715293,0.418224426922215,0.5376619149692075,-0.6968966282648275,1,0
20250904_209,9,0.023850457663327138,0.4713937128992869,0.23911052975679353,0.4417754286804535,1.9852992087996335,1,1
20250904_211,6,-0.02095503868452546,0.0,0.09692189584593777,0.38016507171095776,-0.6710090184021015,1,0
20250911_214,19,0.6380337235249551,0.007993574246895101,0.41019755940334307,0.5416642778800269,-5.758957109896789,1,0
20250911_217,13,0.020351336682048624,0.47049507038916444,0.38341740301096416,0.5681924440213644,0.7022415616828092,1,0
20250911_222,21,0.034081131142990995,0.464635472886665,0.48954094114694285,0.6039292732923334,-0.39039146504919797,1,0
20250912_225,13,0.01301963159686753,0.5131722048269689,0.4130110980065156,0.6175349885241467,0.7784201166715247,1,0
20250912_227,8,0.55138937120619,0.0020728301553380275,0.22251118140292753,0.5046602002968922,-0.9950484207678968,1,0
20250912_229,13,0.0003926400097794045,0.3094024646900254,0.42691372853047566,0.5927038219747437,-1.139237584949913,1,0
20250925_231,20,0.5066876840273967,0.021771450004385517,0.1943154325236554,0.2438945757343149,-6.087209852476262,1,0
20250925_233,25,0.18973226213486635,0.1303549890111827,0.3257878632573083,0.38706315680169245,-5.346287150847039,1,0
20250926_235,20,0.27633895705087275,0.15588564238522676,0.44505012633333507,0.5513347312258889,-4.655348653419524,1,0
20250926_237,36,0.19215133951661192,0.18736480325415564,0.5078801182636734,0.5824527498494725,-7.49152586865755,1,0
20260115_240,10,0.03055941755068861,0.4817697433019037,0.37058423025998893,0.571848615405927,0.8815868879691232,1,0
20260115_243,37,0.05869860992967369,0.22124000607458166,0.29222215035092064,0.325258149588203,-3.5840227634449255,1,0
20260120_248,26,0.42300333459249423,0.05481554919824211,0.3321535239657354,0.392386720696359,-7.007401665560886,1,0
20260121_250,5,-0.03510826197367626,nan,nan,nan,nan,0,0
20260121_252,3,0.13820946874076687,0.0,-4.64251125204632e-18,1.2376260069399132e-16,nan,1,0
20260122_256,22,0.01519688397752074,0.4773010082130025,0.409791704646886,0.4963585572170494,1.4364511074837845,1,0
