group,treatment,slice_id,n_roi_recorded
DI,senktide,20250925_231,20
DI,senktide,20250925_233,27
DI,senktide,20250926_235,23
DI,senktide,20250926_237,39
DI,senktide,20260130_270,48
DI,senktide,20260130_272,28
DI,TTX,20240930_65,53
DI,TTX,20240930_69,19
DI,TTX,20250731_151,38
DI,TTX,20260303_290,33
DI,TTX,20260303_296,51
DI,TTX,20260303_301,24
DI,TTX,20260629_309,21
DI,TTX,20260629_312,21
DI,TTX,20260629_314,14
DI,TTX,20260630_316,34
DI,TTX,20260630_325,19
OVX,senktide,20240813b42,37
OVX,senktide,20240814a47,17
OVX,senktide,20240814b49,43
OVX,senktide,20250829_207,53
OVX,senktide,20250904_209,23
OVX,senktide,20260122_256,36
OVX,senktide,20260122_259,37
OVX,senktide,20260226_285,27
OVX,TTX,20241002_72,19
OVX,TTX,20250829_204,32
OVX,TTX,20250904_211,45
OVX,TTX,20260226_282,16
OVX,TTX,20260226_287,15
OVX,TTX,20260701_328,25
OVX,TTX,20260701_331,26
OVX,TTX,20260702_334,36
OVX,TTX,20260702_338,46
MALE,senktide,20240827a55,29
MALE,senktide,20240827b57,36
MALE,senktide,20250826_192,30
MALE,senktide,20250827_196,27
MALE,senktide,20260120_248,31
MALE,TTX,20241211_127,45
MALE,TTX,20250807_178,46
MALE,TTX,20250807_181,32
MALE,TTX,20250826_190,15
MALE,TTX,20250827_199,48
MALE,TTX,20260706_341,33
MALE,TTX,20260706_343,44
MALE,TTX,20260707_346,10
MALE,TTX,20260707_348,30
ORX,senktide,20250911_214,20
ORX,senktide,20250911_217,32
ORX,senktide,20250911_222,34
ORX,senktide,20250912_225,45
ORX,senktide,20250912_227,17
ORX,senktide,20250912_229,55
ORX,senktide,20260115_240,32
ORX,senktide,20260115_243,43
ORX,senktide,20260121_250,34
ORX,senktide,20260121_252,27
ORX,TTX,20241122b_110,25
ORX,TTX,20241212_131,33
ORX,TTX,20250806_174,36
ORX,TTX,20250806_176,19
ORX,TTX,20250808_183,61
ORX,TTX,20250808_186,35
ORX,TTX,20260225_275,29
ORX,TTX,20260225_277,26
ORX,TTX,20260225_280,15
