slice_id,stream,detector,mode,region_idx,region_label,onset_sec,width_sec,width_def,n_roi,strength,strength_unit,frame_interval_sec,date,mouse_id,group_id,n_roi_recorded,subject_id,center_sec,n_events,span_sec,core_n_events,core_n_roi,core_first_sec,core_span_sec,amplitude,member_amp_median,member_width_median,peak_coactivity,gap_sec,half_aperture_sec,min_interval_sec
20240708_13,combined,rate,threshold,1,baseline,116.80000000000001,1.1999999999999886,NA,6,4.461538461538462,intra_event_event_rate_hz,0.1,20240708,38,MALE,34,38,117.4,10,8.799999999999997,9,6,116.8,5.299999999999997,1.1320754716981138,0.0183268,0.7,5,2.5,5.0,0.1
20240708_13,combined,rate,threshold,1,baseline,149.20000000000002,1.0999999999999943,NA,7,4.0,intra_event_event_rate_hz,0.1,20240708,38,MALE,34,38,149.75,9,7.5,8,6,149.3,4.599999999999994,1.304347826086958,0.0165064,0.8500000000000001,5,2.5,5.0,0.1
20240708_13,combined,rate,threshold,1,baseline,317.5,1.3000000000000114,NA,8,4.357142857142857,intra_event_event_rate_hz,0.1,20240708,38,MALE,34,38,318.15,11,8.0,8,6,317.2,2.0,3.0,0.021520949999999997,1.0,6,2.5,5.0,0.1
20240708_13,combined,rate,threshold,1,baseline,559.3000000000001,1.099999999999909,NA,9,4.5,intra_event_event_rate_hz,0.1,20240708,38,MALE,34,38,559.85,16,7.5,16,9,556.0,7.5,1.2,0.030515050000000002,0.75,7,2.5,5.0,0.1
20240708_13,combined,rate,threshold,1,baseline,572.5,1.8000000000000682,NA,10,4.157894736842105,intra_event_event_rate_hz,0.1,20240708,38,MALE,34,38,573.4000000000001,20,8.0,20,10,569.1,8.0,1.25,0.039688799999999996,1.2,6,2.5,5.0,0.1
20240708_13,combined,rate,threshold,1,baseline,602.8,9.5,NA,21,3.3541666666666665,intra_event_event_rate_hz,0.1,20240708,38,MALE,34,38,607.55,30,9.299999999999955,17,14,607.1,4.7999999999999545,2.9166666666666945,0.0256424,1.5,13,2.5,5.0,0.1
20240708_13,combined,rate,threshold,1,baseline,1020.3,2.5,NA,20,7.153846153846154,intra_event_event_rate_hz,0.1,20240708,38,MALE,34,38,1021.55,25,8.799999999999955,24,20,1019.6,6.199999999999932,3.2258064516129386,0.02822465,1.7,17,2.5,5.0,0.1
20240708_13,combined,rate,threshold,1,baseline,1118.2,2.2000000000000455,NA,15,6.391304347826087,intra_event_event_rate_hz,0.1,20240708,38,MALE,34,38,1119.3000000000002,19,6.2000000000000455,16,15,1116.8,3.2000000000000455,4.687499999999933,0.0190319,1.65,15,2.5,5.0,0.1
20240708_13,combined,rate,threshold,1,baseline,1151.4,2.599999999999909,NA,26,11.148148148148149,intra_event_event_rate_hz,0.1,20240708,38,MALE,34,38,1152.7,34,7.7000000000000455,34,26,1148.0,7.7000000000000455,3.376623376623357,0.0217281,2.3,23,2.5,5.0,0.1
20240708_13,combined,rate,threshold,1,baseline,1186.1,1.900000000000091,NA,10,4.8,intra_event_event_rate_hz,0.1,20240708,38,MALE,34,38,1187.05,19,9.5,16,9,1182.5,5.2000000000000455,1.7307692307692157,0.02332045,1.3,8,2.5,5.0,0.1
20240708_13,combined,rate,threshold,2,SB222200,1338.7,1.7000000000000455,NA,9,4.777777777777778,intra_event_event_rate_hz,0.1,20240708,38,MALE,34,38,1339.5500000000002,11,3.099999999999909,11,9,1337.9,3.099999999999909,2.9032258064516983,0.0289427,1.9,8,2.5,5.0,0.1
